map{ id = "01. Shrine of Earth/ca07", description = "01. Shrine of Earth/ca07" }
map{ id = "01. Shrine of Earth/cb07", description = "01. Shrine of Earth/cb07" }
map{ id = "01. Shrine of Earth/cc07", description = "01. Shrine of Earth/cc07" }
map{ id = "01. Shrine of Earth/cd04", description = "01. Shrine of Earth/cd04" }
map{ id = "01. Shrine of Earth/cd05", description = "01. Shrine of Earth/cd05" }
map{ id = "01. Shrine of Earth/cd06", description = "01. Shrine of Earth/cd06" }
map{ id = "01. Shrine of Earth/cd07", description = "01. Shrine of Earth/cd07" }
map{ id = "01. Shrine of Earth/cd08", description = "01. Shrine of Earth/cd08" }
map{ id = "01. Shrine of Earth/cd09", description = "01. Shrine of Earth/cd09" }
map{ id = "01. Shrine of Earth/ce03", description = "01. Shrine of Earth/ce03" }
map{ id = "01. Shrine of Earth/ce04", description = "01. Shrine of Earth/ce04" }
map{ id = "01. Shrine of Earth/ce07", description = "01. Shrine of Earth/ce07" }
map{ id = "01. Shrine of Earth/ce09", description = "01. Shrine of Earth/ce09" }
map{ id = "01. Shrine of Earth/ce10", description = "01. Shrine of Earth/ce10" }
map{ id = "01. Shrine of Earth/cf03", description = "01. Shrine of Earth/cf03" }
map{ id = "01. Shrine of Earth/cf06", description = "01. Shrine of Earth/cf06" }
map{ id = "01. Shrine of Earth/cf07", description = "01. Shrine of Earth/cf07" }
map{ id = "01. Shrine of Earth/cf10", description = "01. Shrine of Earth/cf10" }
map{ id = "01. Shrine of Earth/cf89", description = "01. Shrine of Earth/cf89" }
map{ id = "01. Shrine of Earth/cg01", description = "01. Shrine of Earth/cg01" }
map{ id = "01. Shrine of Earth/cg02", description = "01. Shrine of Earth/cg02" }
map{ id = "01. Shrine of Earth/cg03", description = "01. Shrine of Earth/cg03" }
map{ id = "01. Shrine of Earth/cg07", description = "01. Shrine of Earth/cg07" }
map{ id = "02. Shrine of Illusion/da07", description = "02. Shrine of Illusion/da07" }
map{ id = "02. Shrine of Illusion/da08", description = "02. Shrine of Illusion/da08" }
map{ id = "02. Shrine of Illusion/da09", description = "02. Shrine of Illusion/da09" }
map{ id = "02. Shrine of Illusion/da10", description = "02. Shrine of Illusion/da10" }
map{ id = "02. Shrine of Illusion/db07", description = "02. Shrine of Illusion/db07" }
map{ id = "02. Shrine of Illusion/db08", description = "02. Shrine of Illusion/db08" }
map{ id = "02. Shrine of Illusion/db09", description = "02. Shrine of Illusion/db09" }
map{ id = "02. Shrine of Illusion/dc04", description = "02. Shrine of Illusion/dc04" }
map{ id = "02. Shrine of Illusion/dc05", description = "02. Shrine of Illusion/dc05" }
map{ id = "02. Shrine of Illusion/dc06", description = "02. Shrine of Illusion/dc06" }
map{ id = "02. Shrine of Illusion/dc07", description = "02. Shrine of Illusion/dc07" }
map{ id = "02. Shrine of Illusion/dd04", description = "02. Shrine of Illusion/dd04" }
map{ id = "02. Shrine of Illusion/dd05", description = "02. Shrine of Illusion/dd05" }
map{ id = "02. Shrine of Illusion/dd06", description = "02. Shrine of Illusion/dd06" }
map{ id = "02. Shrine of Illusion/de04", description = "02. Shrine of Illusion/de04" }
map{ id = "02. Shrine of Illusion/df04", description = "02. Shrine of Illusion/df04" }
map{ id = "02. Shrine of Illusion/df05", description = "02. Shrine of Illusion/df05" }
map{ id = "02. Shrine of Illusion/dg03", description = "02. Shrine of Illusion/dg03" }
map{ id = "02. Shrine of Illusion/dg04", description = "02. Shrine of Illusion/dg04" }
map{ id = "02. Shrine of Illusion/dg05", description = "02. Shrine of Illusion/dg05" }
map{ id = "02. Shrine of Illusion/dh03", description = "02. Shrine of Illusion/dh03" }
map{ id = "02. Shrine of Illusion/di03", description = "02. Shrine of Illusion/di03" }
map{ id = "02. Shrine of Illusion/dj01", description = "02. Shrine of Illusion/dj01" }
map{ id = "02. Shrine of Illusion/dj02", description = "02. Shrine of Illusion/dj02" }
map{ id = "02. Shrine of Illusion/dj03", description = "02. Shrine of Illusion/dj03" }
map{ id = "03. Shrine of Fire/ka06", description = "03. Shrine of Fire/ka06" }
map{ id = "03. Shrine of Fire/ka07", description = "03. Shrine of Fire/ka07" }
map{ id = "03. Shrine of Fire/kb03", description = "03. Shrine of Fire/kb03" }
map{ id = "03. Shrine of Fire/kb04", description = "03. Shrine of Fire/kb04" }
map{ id = "03. Shrine of Fire/kb05", description = "03. Shrine of Fire/kb05" }
map{ id = "03. Shrine of Fire/kb06", description = "03. Shrine of Fire/kb06" }
map{ id = "03. Shrine of Fire/kb07", description = "03. Shrine of Fire/kb07" }
map{ id = "03. Shrine of Fire/kc03", description = "03. Shrine of Fire/kc03" }
map{ id = "03. Shrine of Fire/kc07", description = "03. Shrine of Fire/kc07" }
map{ id = "03. Shrine of Fire/kc08", description = "03. Shrine of Fire/kc08" }
map{ id = "03. Shrine of Fire/kd03", description = "03. Shrine of Fire/kd03" }
map{ id = "03. Shrine of Fire/kd04", description = "03. Shrine of Fire/kd04" }
map{ id = "03. Shrine of Fire/kd05", description = "03. Shrine of Fire/kd05" }
map{ id = "03. Shrine of Fire/ke03", description = "03. Shrine of Fire/ke03" }
map{ id = "03. Shrine of Fire/ke05", description = "03. Shrine of Fire/ke05" }
map{ id = "03. Shrine of Fire/ke06", description = "03. Shrine of Fire/ke06" }
map{ id = "03. Shrine of Fire/kf03", description = "03. Shrine of Fire/kf03" }
map{ id = "03. Shrine of Fire/kf06", description = "03. Shrine of Fire/kf06" }
map{ id = "03. Shrine of Fire/kg03", description = "03. Shrine of Fire/kg03" }
map{ id = "03. Shrine of Fire/kg04", description = "03. Shrine of Fire/kg04" }
map{ id = "03. Shrine of Fire/kg05", description = "03. Shrine of Fire/kg05" }
map{ id = "03. Shrine of Fire/kg06", description = "03. Shrine of Fire/kg06" }
map{ id = "03. Shrine of Fire/kh05", description = "03. Shrine of Fire/kh05" }
map{ id = "03. Shrine of Fire/kh06", description = "03. Shrine of Fire/kh06" }
map{ id = "04. Shrine of Destiny/ff03", description = "ff03" }
map{ id = "05. Shrine of Air/ea03", description = "05. Shrine of Air/ea03" }
map{ id = "05. Shrine of Air/ea04", description = "05. Shrine of Air/ea04" }
map{ id = "05. Shrine of Air/eb02", description = "05. Shrine of Air/eb02" }
map{ id = "05. Shrine of Air/eb03", description = "05. Shrine of Air/eb03" }
map{ id = "05. Shrine of Air/ec02", description = "05. Shrine of Air/ec02" }
map{ id = "05. Shrine of Air/ed02", description = "05. Shrine of Air/ed02" }
map{ id = "05. Shrine of Air/ee02", description = "05. Shrine of Air/ee02" }
map{ id = "05. Shrine of Air/ee06", description = "05. Shrine of Air/ee06" }
map{ id = "05. Shrine of Air/ee07", description = "05. Shrine of Air/ee07" }
map{ id = "05. Shrine of Air/ee08", description = "05. Shrine of Air/ee08" }
map{ id = "05. Shrine of Air/ef02", description = "05. Shrine of Air/ef02" }
map{ id = "05. Shrine of Air/ef08", description = "05. Shrine of Air/ef08" }
map{ id = "05. Shrine of Air/ef09", description = "05. Shrine of Air/ef09" }
map{ id = "05. Shrine of Air/ef10", description = "05. Shrine of Air/ef10" }
map{ id = "06. Shrine of Water/gg09", description = "gg09" }
map{ id = "06. Shrine of Water/gg10", description = "gg10" }
map{ id = "06. Shrine of Water/gh09", description = "gh09" }
map{ id = "06. Shrine of Water/gh10", description = "gh10" }
map{ id = "07. Shrine of Strength/ha04", description = "ha04" }
map{ id = "07. Shrine of Strength/ha05", description = "ha05" }
map{ id = "07. Shrine of Strength/hb04", description = "hb04" }
map{ id = "07. Shrine of Strength/hb05", description = "hb05" }
map{ id = "07. Shrine of Strength/hc05", description = "hc05" }
map{ id = "07. Shrine of Strength/hd05", description = "hd05" }
map{ id = "08. Ganon's Lair/ba01", description = "ba01" }
map{ id = "09. Secret Palace/la01", description = "la01" }
map{ id = "09. Secret Palace/la201", description = "la201" }
map{ id = "09. Secret Palace/lb01" }
map{ id = "1" }
map{ id = "Forest of Ogbam/af25", description = "af25" }
map{ id = "Forest of Ogbam/af26", description = "af26" }
map{ id = "Forest of Ogbam/af27", description = "af27" }
map{ id = "Forest of Ogbam/af28", description = "af28" }
map{ id = "Forest of Ogbam/ag25", description = "ag25" }
map{ id = "Forest of Ogbam/ag26", description = "ag26" }
map{ id = "Forest of Ogbam/ag27", description = "ag27" }
map{ id = "Forest of Ogbam/ag28", description = "ag28" }
map{ id = "Forest of Ogbam/ag29", description = "ag29" }
map{ id = "Forest of Ogbam/ag30", description = "ag30" }
map{ id = "Forest of Ogbam/ag31", description = "ag31" }
map{ id = "Forest of Ogbam/ag32", description = "ag32" }
map{ id = "Forest of Ogbam/ah25", description = "ah25" }
map{ id = "Forest of Ogbam/ah26", description = "ah26" }
map{ id = "Forest of Ogbam/ah27", description = "ah27" }
map{ id = "Forest of Ogbam/ah28", description = "ah28" }
map{ id = "Forest of Ogbam/ah29", description = "ah29" }
map{ id = "Forest of Ogbam/ai25", description = "ai25" }
map{ id = "Forest of Ogbam/ai26", description = "ai26" }
map{ id = "Forest of Ogbam/aj25", description = "aj25" }
map{ id = "Forest of Ogbam/aj26", description = "aj26" }
